,Title,Released Year,Rotten Tomatoes Score,Cast,Director,Synopsis,Critics consensus
87,Supercop,1992,93%,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Kenneth Tsang",Stanley Tong,"To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he... ","Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers."
88,Dirty Harry,1971,89%,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Don Siegel,Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he... ,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact."
89,Edge of Tomorrow,2014,91%,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",Doug Liman,"When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj.... ","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."
90,X2,2003,85%,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry",Bryan Singer,"Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of... ","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general."
91,The Fugitive,1993,96%,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Andrew Davis,"Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her... ","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."
92,Black Panther,2018,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Ryan Coogler,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place... ",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.
93,Inception,2010,87%,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy",Christopher Nolan,Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from... ,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
94,Braveheart,1995,76%,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Mel Gibson,Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against... ,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition."
95,Minority Report,2002,90%,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",Steven Spielberg,"Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in... ","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
96,Avengers: Endgame,2019,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Anthony Russo,"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply... ","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."
